"Relação de Alunos Desistência dos Cursos – PG
Bacharelado em Ciência da Computação 
Tecnologia Em Análise E Desenvolvimento De Sistemas",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
#,id,Ano Ingresso,Per. Ingresso,Curso,Forma de Ingresso,Tipo de Cota,Sigla Cota,Escola Pública?,Coeficiente,Escore Vest,Nota Enem,Sexo,Idade,Data Nascimento,Cidade,Estado,Grupo (Étnico),Situação Atual do Aluno,Período do Aluno,Ano Desistência,Período Desistências
36,htis5c,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,695",,"668,6",M,27,04/02/1992,São José dos Campos,SP,Preta,Formado,8,2015,2
37,818ojk,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,6142",,"588,3",F,27,08/07/1992,Ponta Grossa,PR,Não declarado,Formado,8,2015,2
38,z9dj9t,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,2547",,"675,4",M,28,18/09/1991,Ponta Grossa,PR,Branca,Desistente,2,2015,2
39,67oc9t,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,6053",,"643,4",M,29,01/08/1990,Irati,PR,Branca,Formado,8,2016,1
40,iot+z8,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,8112",,"657,3",M,27,03/09/1992,Governador Valadares,MG,Parda,Formado,8,2016,1
41,ubxo9t,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,7099",,"602,3",M,28,11/02/1991,Irati,PR,Branca,Formado,8,2016,1
42,kfosow,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,2423",,"672,2",M,33,05/02/1986,Recife,PE,Amarela,Desistente,3,2016,1
43,ez7cjk,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,3414",,661,M,27,12/02/1992,Lins,SP,Branca,Desistente,4,2016,2
44,kj87ff,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,5354",,"578,2",M,27,12/11/1991,Castro,PR,Não declarado,Formado,8,2016,2
45,81x9cx,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,7529",,"691,6",F,27,11/03/1992,Ponta Grossa,PR,Branca,Formado,8,2017,1
